id,tag
M936IBKAL9,cancer
00817274022696,cancer
00817274020661,cancer
10801741124119,cancer
10801741075961,cancer
10801741075947,cancer
10801741075923,cancer
00853730006275,cancer
00842331171598,cancer
00842331130076,cancer
00842331129322,cancer
00842331131455,cancer
00842331146664,cancer
00842331179532,cancer
00842331177736,cancer
00876230024891,cancer
00876230024884,cancer
00876230024822,cancer
00876230024815,cancer
00876230024808,cancer
15420045514652,cancer
15420045504011,cancer
15420045504004,cancer
15420045501072,cancer
15420045500297,cancer
10382904914520,cancer
10382904914438,cancer
10382904912533,cancer
10382904905276,cancer
06975025173852,cancer
06975025173814,cancer
06430035430079,cancer
00367979001002,cancer
04053228035725,cancer
00810119671806,cancer
L502BSB2830,cancer
10888277363038,cancer
03573026559823,cancer
03573026354909,cancer
05700571105603,cancer
00847627034410,cancer
00847627025388,cancer
00847627024497,cancer
00847627011411,cancer
00847627008947,cancer
00847627008749,cancer
00847627005021,cancer
00847627004895,cancer
00847627004406,cancer
00847627004390,cancer
05700571105603,cancer
00810119671806,cancer
10888277363038,cancer
04053228035725,cancer
00875197005592,cancer
B502BSB2373CS0,cancer
06430035430055,cancer
06430035430024,cancer
07540146000067,cancer
07540146000036,cancer
04015630939909,cancer
04015630938810,cancer
04015630920716,cancer
14560189210230,cancer
